                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
RPS28             2.340300e-01   35.315349   0.000999      0.004052
TRPS1             2.340271e-01   34.594047   0.000999      0.004052
PPT1              2.331540e-01   36.175126   0.000999      0.004052
PSMD4             2.326772e-01   35.837919   0.000999      0.004052
BIK               2.318893e-01   35.341750   0.000999      0.004052
SERPINF1          2.314798e-01   35.166536   0.000999      0.004052
ATP5MC2           2.311961e-01   35.171491   0.000999      0.004052
SPCS1             2.311302e-01   35.909909   0.000999      0.004052
RPLP2             2.310626e-01   35.825051   0.000999      0.004052
LINC02224         2.305832e-01   33.968315   0.000999      0.004052
FBLN1             2.304324e-01   36.620216   0.000999      0.004052
TXNDC17           2.301240e-01   35.520366   0.000999      0.004052
CTGF              2.298578e-01   34.338478   0.000999      0.004052
BMI1              2.291165e-01   34.737732   0.000999      0.004052
GATA3-AS1         2.291028e-01   33.774139   0.000999      0.004052
CLDN5             2.290718e-01   34.044315   0.000999      0.004052
SKP1              2.289483e-01   35.975978   0.000999      0.004052
RPSA              2.288722e-01   34.592627   0.000999      0.004052
C1orf43           2.283474e-01   35.977001   0.000999      0.004052
TMEM256           2.280990e-01   34.466853   0.000999      0.004052
VWF               2.278669e-01   35.286686   0.000999      0.004052
FABP4             2.276367e-01   33.805324   0.000999      0.004052
BEX3              2.270604e-01   33.507359   0.000999      0.004052
SRP9              2.268604e-01   32.758238   0.000999      0.004052
TBCA              2.268593e-01   35.464933   0.000999      0.004052
ATP5F1B           2.267441e-01   33.287063   0.000999      0.004052
COA3              2.265050e-01   34.102855   0.000999      0.004052
IL32              2.260910e-01   33.108581   0.000999      0.004052
TNXB              2.260496e-01   34.962111   0.000999      0.004052
COL9A2            2.259794e-01   33.730219   0.000999      0.004052
BRF2              2.258738e-01   35.049139   0.000999      0.004052
EEF1A1            2.257589e-01   34.610764   0.000999      0.004052
NDUFAF8           2.257407e-01   34.030953   0.000999      0.004052
NNMT              2.256824e-01   33.041216   0.000999      0.004052
A2M               2.253204e-01   33.191176   0.000999      0.004052
GNAS              2.253041e-01   33.695452   0.000999      0.004052
